Districts,Languages
DUMKA,ANGIKA
JAMTARA,ANGIKA
RAMGARH,ANGIKA
PAKUR,ANGIKA
GODDA,ANGIKA
BOKARO,ANGIKA
DHANBAD,ANGIKA
SAHEBGANJ,ANGIKA
BISWANATH,ASSAMESE
DIBRUGARH,ASSAMESE
BAKSA,ASSAMESE
CHIRANG,ASSAMESE
BARPETA,ASSAMESE
DHEMAJI,ASSAMESE
SONITPUR,ASSAMESE
TINSUKIA,ASSAMESE
KOKRAJHAR,ASSAMESE
BONGAIGAON,ASSAMESE
GOALPARA,ASSAMESE
KAMRUP METRO,ASSAMESE
MARIGAON,ASSAMESE
KAMRUP,ASSAMESE
LAKHIMPUR,ASSAMESE
DARRANG,ASSAMESE
NALBARI,ASSAMESE
DHUBRI,ASSAMESE
UDALGURI,ASSAMESE
JORHAT,ASSAMESE
SIVASAGAR,ASSAMESE
NAGAON,ASSAMESE
PRATAPGADH,AWADHI
BASTI,AWADHI
SULTANPUR,AWADHI
GONDA,AWADHI
FATEHPUR,AWADHI
AYODHYA,AWADHI
AMETHI,AWADHI
RAE BARELI,AWADHI
BALRAMPURA,AWADHI
SOLAN,BAGHATI
UMARIA,BAGHELI
KATNI,BAGHELI
MANDLA,BAGHELI
SEONI,BAGHELI
ANUPPUR,BAGHELI
BALAGHAT,BAGHELI
CHHINDWARA,BAGHELI
JABALPUR,BAGHELI
SINGRAULI,BAGHELI
SHAHDOL,BAGHELI
SIDHI,BAGHELI
DINDORI,BAGHELI
CHURU,BAGRI
JHUNJHUNU,BAGRI
SIWAN,BAJJIKA
PURBI CHAMPARAN,BAJJIKA
GOPALGANJ,BAJJIKA
Shangla,BASHKARIK
NADIA,BENGALI
BIRBHUM,BENGALI
HOWRAH,BENGALI
DINAJPUR DAKSHIN,BENGALI
PURULIA,BENGALI
PASCHIM BARDHAMAN,BENGALI
MEDINIPUR EAST,BENGALI
BANKURA,BENGALI
JHARGRAM,BENGALI
MEDINIPUR WEST,BENGALI
MALDAH,BENGALI
PURBA BARDHAMAN,BENGALI
MURSHIDABAD,BENGALI
HOOGHLY,BENGALI
PARAGANAS NORTH,BENGALI
PARAGANAS SOUTH,BENGALI
COOCHBEHAR,BENGALI
DARJEELING,BENGALI
ALIPURDUAR,BENGALI
JALPAIGURI,BENGALI
KALIMPONG,BENGALI
DINAJPUR UTTAR,BENGALI
Bangladesh,BENGALI
KATHUA,BHADRAWA HI-KHASHALI-BHALESI
SAMBA,BHADRAWA HI-KHASHALI-BHALESI
UDHAMPUR,BHADRAWA HI-KHASHALI-BHALESI
DODA,BHADRAWA HI-KHASHALI-BHALESI
GARIYABAND,BHATTI
DHAMTARI,BHATTI
BALOD,BHATTI
NARAYANPUR,BHATTI
KONDAGAON,BHATTI
KANKER,BHATTI
BHARUCH,BHILI
VADODARA,BHILI
PANCH MAHALS,BHILI
DANG,BHILI
NARMADA,BHILI
TAPI,BHILI
VALSAD,BHILI
MAHISAGAR,BHILI
CHHOTAUDEPUR,BHILI
SURAT,BHILI
NAVSARI,BHILI
DOHAD,BHILI
PASHCHIM CHAMPARAN,BHOJPURI
KAIMUR (BHABUA),BHOJPURI
GARHWA,BHOJPURI
GORAKHPUR,BHOJPURI
KUSHI NAGAR,BHOJPURI
MAHARAJGANJ,BHOJPURI
DEORIA,BHOJPURI
CHANDAULI,BHOJPURI
GHAZIPUR,BHOJPURI
BALLIA,BHOJPURI
AZAMGARH,BHOJPURI
SONBHADRA,BHOJPURI
VARANASI,BHOJPURI
MAU,BHOJPURI
KARIMGANJ,BISHNUPRIYA
CACHAR,BISHNUPRIYA
DIMA HASAO,BISHNUPRIYA
HAILAKANDI,BISHNUPRIYA
TAMENGLONG,BISHNUPRIYA
PEREN,BISHNUPRIYA
MATHURA,BRAJ
ALIGARH,BRAJ
HATHRAS,BRAJ
SAMBHAL,BRAJ
BHIND,BUNDELI
SHIVPURI,BUNDELI
SEHORE,BUNDELI
GWALIOR,BUNDELI
VIDISHA,BUNDELI
ASHOKNAGAR,BUNDELI
TIKAMGARH,BUNDELI
DATIA,BUNDELI
BHOPAL,BUNDELI
NIWARI,BUNDELI
JHANSI,BUNDELI
LALITPUR,BUNDELI
Skardu,BURUSHASKI
Ghanchi,BURUSHASKI
Hunza Nagar,BURUSHASKI
CHAMBA,CHAMEALI AND CHURAHI
SURAJPUR,CHHATTISGARHI
KOREA,CHHATTISGARHI
RAJNANDGAON,CHHATTISGARHI
KABIRDHAM,CHHATTISGARHI
SURGUJA,CHHATTISGARHI
MUNGELI,CHHATTISGARHI
MAHASAMUND,CHHATTISGARHI
RAIGARH,CHHATTISGARHI
BEMETARA,CHHATTISGARHI
BALRAMPUR,CHHATTISGARHI
RAIPUR,CHHATTISGARHI
BILASPURA,CHHATTISGARHI
BALODA BAZAR,CHHATTISGARHI
DURG,CHHATTISGARHI
JASHPUR,CHHATTISGARHI
KORBA,CHHATTISGARHI
JANJGIR-CHAMPA,CHHATTISGARHI
GAURELLA-PENDRA-MARWAHI,CHHATTISGARHI
Orakzai Agency,DHANNI
Khyber Agency,DHANNI
Kohat,DHANNI
KARAULI,DHUNDHARI
JAIPUR,DHUNDHARI
DAUSA,DHUNDHARI
SIKAR,DHUNDHARI
NAGAUR,DHUNDHARI
JAMMU,DODA SIRAJI
Bhimber,DOGRI
Mirpur,DOGRI
Gujrat,DOGRI
Chakwal,DOGRI
Jhelum,DOGRI
Rawalpindi,DOGRI
EAST GODAVARI,DRAVIDIAN
VISAKHAPATANAM,DRAVIDIAN
VIZIANAGARAM,DRAVIDIAN
WEST GODAVARI,DRAVIDIAN
GUNTUR,DRAVIDIAN
KRISHNA,DRAVIDIAN
PRAKASAM,DRAVIDIAN
SRIKAKULAM,DRAVIDIAN
SPSR NELLORE,DRAVIDIAN
KADAPA,DRAVIDIAN
CHITTOOR,DRAVIDIAN
KURNOOL,DRAVIDIAN
ANANTAPUR,DRAVIDIAN
